city,state,avg_price
Lewisboro,New York,"$1,347,000.00"
Falmouth,Massachusetts,"$1,344,789.36"
Suttons Bay,Michigan,"$1,343,500.00"
Lucas,Texas,"$1,341,369.70"
Jamaica Plain,Massachusetts,"$1,339,666.67"
Wicomico Church,Virginia,"$1,338,650.00"
Stantonville,Tennessee,"$1,337,300.00"
West Barnstable,Massachusetts,"$1,336,621.43"
Vowinckel,Pennsylvania,"$1,335,933.33"
Geiger,Florida,"$1,335,200.00"
Ramrod Key,Florida,"$1,335,133.33"
Ray Township,Michigan,"$1,334,960.00"
Middleton,Massachusetts,"$1,334,823.53"
Loch Lloyd,Missouri,"$1,333,170.00"
West Windsor,Vermont,"$1,327,875.00"
Lynnfield,Massachusetts,"$1,326,980.00"
Polebridge,Montana,"$1,325,000.00"
Closter,New Jersey,"$1,321,352.94"
West Allenhurst,New Jersey,"$1,321,166.67"
Clinton Corners,New York,"$1,318,473.68"
Mattituck,New York,"$1,316,879.60"
Bannockburn,Illinois,"$1,316,500.00"
Manasquan,New Jersey,"$1,315,776.73"
Scituate,Massachusetts,"$1,315,552.32"
Dickerson,Maryland,"$1,315,447.67"
Morris,Connecticut,"$1,313,733.33"
Englewood Cliffs,New Jersey,"$1,311,990.00"
Custer,Montana,"$1,311,250.00"
Mackinac Island,Michigan,"$1,311,166.67"
Belfry,Montana,"$1,311,057.14"
Fair Haven,New Jersey,"$1,309,252.58"
Mettawa,Illinois,"$1,308,706.11"
Belmont,Massachusetts,"$1,306,183.29"
White Sulphur Springs,Montana,"$1,304,758.82"
Saint Pete Beach,Florida,"$1,303,916.70"
Parker,Texas,"$1,303,595.70"
Hickman,Tennessee,"$1,303,374.75"
Lake Leelanau,Michigan,"$1,302,475.00"
Point Pleasant Beach,New Jersey,"$1,300,089.72"
Corvallis,Montana,"$1,300,012.32"
Eau Gallie,Florida,"$1,300,000.00"
Girdletree,Maryland,"$1,300,000.00"
Wolfcreek,West Virginia,"$1,300,000.00"
Nallen,West Virginia,"$1,300,000.00"
Troy Northshore Dr,Montana,"$1,300,000.00"
Gravesend,New York,"$1,300,000.00"
Lazy Lake,Florida,"$1,300,000.00"
Markham,Virginia,"$1,300,000.00"
Yonges Island,South Carolina,"$1,299,999.00"
Summit,New Jersey,"$1,299,709.98"
Lake Winnebago,Missouri,"$1,299,650.00"
Big Pine,Florida,"$1,299,500.00"
Katonah,New York,"$1,299,408.33"
NULL,Minnesota,"$1,299,000.00"
Agency,Missouri,"$1,299,000.00"
Cortez,Florida,"$1,298,485.71"
Overbrook,Oklahoma,"$1,296,333.33"
Grubville,Missouri,"$1,295,375.00"
Frontenac,Missouri,"$1,295,370.86"
Davidsonville,Maryland,"$1,295,363.53"
North Eastham,Massachusetts,"$1,295,000.00"
Saint Thomas,Virgin Islands,"$1,292,732.14"
Syosset,New York,"$1,292,082.07"
Oak Beach,New York,"$1,292,000.00"
Orono,Minnesota,"$1,290,871.27"
Fawn Grove,Pennsylvania,"$1,290,000.00"
Cape May,New Jersey,"$1,289,966.13"
Birchrunville,Pennsylvania,"$1,289,900.00"
Crystal Beach,Florida,"$1,286,888.89"
Santa Rosa Beach,Florida,"$1,286,313.73"
Whaleyville,Maryland,"$1,286,300.00"
Milton,Georgia,"$1,285,481.73"
Queenstown,Maryland,"$1,285,112.50"
Millry,Alabama,"$1,280,112.38"
Crab Orchard,Tennessee,"$1,279,950.00"
Sparks,Maryland,"$1,279,550.00"
Bonner,Montana,"$1,278,950.00"
Ardsley,New York,"$1,278,444.44"
Upper Saddle River,New Jersey,"$1,275,487.05"
